,Year,Date,Time,Round,Stadium,City,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Outcome,Winner,TotalGoals
517,1998,10-Jun-98, 21:00 ,Group A,La Mosson,Montpellier ,Morocco,2,2,Norway, ,D,Draw,4
518,1998,11-Jun-98, 17:30 ,Group B,Stade du Parc Lescure,Bordeaux ,Italy,2,2,Chile, ,D,Draw,4
519,1998,11-Jun-98, 21:00 ,Group B,Stade Municipal,Toulouse ,Cameroon,1,1,Austria, ,D,Draw,2
520,1998,12-Jun-98, 14:30 ,Group D,La Mosson,Montpellier ,Paraguay,0,0,Bulgaria, ,D,Draw,0
521,1998,12-Jun-98, 17:30 ,Group C,Stade Felix Bollaert,Lens ,Saudi Arabia,0,1,Denmark, ,A,Denmark,1
522,1998,12-Jun-98, 21:00 ,Group C,Stade V�lodrome,Marseilles ,France,3,0,South Africa, ,H,France,3
523,1998,13-Jun-98, 14:30 ,Group D,La Beaujoire,Nantes ,Spain,2,3,Nigeria, ,A,Nigeria,5
524,1998,13-Jun-98, 17:30 ,Group E,Stade de Gerland,Lyon ,Korea Republic,1,3,Mexico, ,A,Mexico,4
525,1998,13-Jun-98, 21:00 ,Group E,Stade de France,Saint-Denis ,Netherlands,0,0,Belgium, ,D,Draw,0
526,1998,14-Jun-98, 14:30 ,Group H,Stade Municipal,Toulouse ,Argentina,1,0,Japan, ,H,Argentina,1
527,1998,14-Jun-98, 17:30 ,Group F,Stade Geoffroy Guichard,Saint-Etienne ,Yugoslavia,1,0,Iran, ,H,Yugoslavia,1
528,1998,14-Jun-98, 21:00 ,Group H,Stade Felix Bollaert,Lens ,Jamaica,1,3,Croatia, ,A,Croatia,4
529,1998,15-Jun-98, 14:30 ,Group G,Stade V�lodrome,Marseilles ,England,2,0,Tunisia, ,H,England,2
530,1998,15-Jun-98, 17:30 ,Group G,Stade de Gerland,Lyon ,Romania,1,0,Colombia, ,H,Romania,1
531,1998,15-Jun-98, 21:00 ,Group F,Parc des Princes,Paris ,Germany,2,0,USA, ,H,Germany,2
532,1998,16-Jun-98, 17:30 ,Group A,Stade du Parc Lescure,Bordeaux ,Scotland,1,1,Norway, ,D,Draw,2
533,1998,16-Jun-98, 21:00 ,Group A,La Beaujoire,Nantes ,Brazil,3,0,Morocco, ,H,Brazil,3
534,1998,17-Jun-98, 17:30 ,Group B,Stade Geoffroy Guichard,Saint-Etienne ,Chile,1,1,Austria, ,D,Draw,2
535,1998,17-Jun-98, 21:00 ,Group B,La Mosson,Montpellier ,Italy,3,0,Cameroon, ,H,Italy,3
536,1998,18-Jun-98, 17:30 ,Group C,Stade Municipal,Toulouse ,South Africa,1,1,Denmark, ,D,Draw,2
537,1998,18-Jun-98, 21:00 ,Group C,Stade de France,Saint-Denis ,France,4,0,Saudi Arabia, ,H,France,4
538,1998,19-Jun-98, 17:30 ,Group D,Parc des Princes,Paris ,Nigeria,1,0,Bulgaria, ,H,Nigeria,1
539,1998,19-Jun-98, 21:00 ,Group D,Stade Geoffroy Guichard,Saint-Etienne ,Spain,0,0,Paraguay, ,D,Draw,0
540,1998,20-Jun-98, 14:30 ,Group H,La Beaujoire,Nantes ,Japan,0,1,Croatia, ,A,Croatia,1
541,1998,20-Jun-98, 17:30 ,Group E,Stade du Parc Lescure,Bordeaux ,Belgium,2,2,Mexico, ,D,Draw,4
542,1998,20-Jun-98, 21:00 ,Group E,Stade V�lodrome,Marseilles ,Netherlands,5,0,Korea Republic, ,H,Netherlands,5
543,1998,21-Jun-98, 14:30 ,Group F,Stade Felix Bollaert,Lens ,Germany,2,2,Yugoslavia, ,D,Draw,4
544,1998,21-Jun-98, 17:30 ,Group H,Parc des Princes,Paris ,Argentina,5,0,Jamaica, ,H,Argentina,5
545,1998,21-Jun-98, 21:00 ,Group F,Stade de Gerland,Lyon ,USA,1,2,Iran, ,A,Iran,3
546,1998,22-Jun-98, 17:30 ,Group G,La Mosson,Montpellier ,Colombia,1,0,Tunisia, ,H,Colombia,1
547,1998,22-Jun-98, 21:00 ,Group G,Stade Municipal,Toulouse ,Romania,2,1,England, ,H,Romania,3
548,1998,23-Jun-98, 16:00 ,Group B,Stade de France,Saint-Denis ,Italy,2,1,Austria, ,H,Italy,3
549,1998,23-Jun-98, 16:00 ,Group B,La Beaujoire,Nantes ,Chile,1,1,Cameroon, ,D,Draw,2
550,1998,23-Jun-98, 21:00 ,Group A,Stade Geoffroy Guichard,Saint-Etienne ,Scotland,0,3,Morocco, ,A,Morocco,3
551,1998,23-Jun-98, 21:00 ,Group A,Stade V�lodrome,Marseilles ,Brazil,1,2,Norway, ,A,Norway,3
552,1998,24-Jun-98, 16:00 ,Group C,Stade de Gerland,Lyon ,France,2,1,Denmark, ,H,France,3
553,1998,24-Jun-98, 16:00 ,Group C,Stade du Parc Lescure,Bordeaux ,South Africa,2,2,Saudi Arabia, ,D,Draw,4
554,1998,24-Jun-98, 21:00 ,Group D,Stade Felix Bollaert,Lens ,Spain,6,1,Bulgaria, ,H,Spain,7
555,1998,24-Jun-98, 21:00 ,Group D,Stade Municipal,Toulouse ,Nigeria,1,3,Paraguay, ,A,Paraguay,4
556,1998,25-Jun-98, 16:00 ,Group E,Parc des Princes,Paris ,Belgium,1,1,Korea Republic, ,D,Draw,2
557,1998,25-Jun-98, 16:00 ,Group E,Stade Geoffroy Guichard,Saint-Etienne ,Netherlands,2,2,Mexico, ,D,Draw,4
558,1998,25-Jun-98, 21:00 ,Group F,La Mosson,Montpellier ,Germany,2,0,Iran, ,H,Germany,2
559,1998,25-Jun-98, 21:00 ,Group F,La Beaujoire,Nantes ,USA,0,1,Yugoslavia, ,A,Yugoslavia,1
560,1998,26-Jun-98, 16:00 ,Group H,Stade de Gerland,Lyon ,Japan,1,2,Jamaica, ,A,Jamaica,3
561,1998,26-Jun-98, 16:00 ,Group H,Stade du Parc Lescure,Bordeaux ,Argentina,1,0,Croatia, ,H,Argentina,1
562,1998,26-Jun-98, 21:00 ,Group G,Stade de France,Saint-Denis ,Romania,1,1,Tunisia, ,D,Draw,2
563,1998,26-Jun-98, 21:00 ,Group G,Stade Felix Bollaert,Lens ,Colombia,0,2,England, ,A,England,2
564,1998,27-Jun-98, 16:30 ,Round of 16,Stade V�lodrome,Marseilles ,Italy,1,0,Norway, ,H,Italy,1
565,1998,27-Jun-98, 21:00 ,Round of 16,Parc des Princes,Paris ,Brazil,4,1,Chile, ,H,Brazil,5
566,1998,28-Jun-98, 16:30 ,Round of 16,Stade Felix Bollaert,Lens ,France,1,0,Paraguay,France win after extra time ,H,France,1
567,1998,28-Jun-98, 21:00 ,Round of 16,Stade de France,Saint-Denis ,Nigeria,1,4,Denmark, ,A,Denmark,5
568,1998,29-Jun-98, 16:30 ,Round of 16,La Mosson,Montpellier ,Germany,2,1,Mexico, ,H,Germany,3
569,1998,29-Jun-98, 21:00 ,Round of 16,Stade Municipal,Toulouse ,Netherlands,2,1,Yugoslavia, ,H,Netherlands,3
570,1998,30-Jun-98, 16:30 ,Round of 16,Stade du Parc Lescure,Bordeaux ,Romania,0,1,Croatia, ,A,Croatia,1
571,1998,30-Jun-98, 21:00 ,Round of 16,Stade Geoffroy Guichard,Saint-Etienne ,Argentina,2,2,England,Argentina win on penalties (4 - 3) ,D,Draw,4
572,1998,03-Jul-98, 16:30 ,Quarter-finals,Stade de France,Saint-Denis ,Italy,0,0,France,France win on penalties (3 - 4) ,D,Draw,0
573,1998,03-Jul-98, 21:00 ,Quarter-finals,La Beaujoire,Nantes ,Brazil,3,2,Denmark, ,H,Brazil,5
574,1998,04-Jul-98, 16:30 ,Quarter-finals,Stade V�lodrome,Marseilles ,Netherlands,2,1,Argentina, ,H,Netherlands,3
575,1998,04-Jul-98, 21:00 ,Quarter-finals,Stade de Gerland,Lyon ,Germany,0,3,Croatia, ,A,Croatia,3
576,1998,07-Jul-98, 21:00 ,Semi-finals,Stade V�lodrome,Marseilles ,Brazil,1,1,Netherlands,Brazil win on penalties (4 - 2) ,D,Draw,2
577,1998,08-Jul-98, 21:00 ,Semi-finals,Stade de France,Saint-Denis ,France,2,1,Croatia, ,H,France,3
578,1998,11-Jul-98, 21:00 ,Match for third place,Parc des Princes,Paris ,Netherlands,1,2,Croatia, ,A,Croatia,3
579,1998,12-Jul-98, 21:00 ,Final,Stade de France,Saint-Denis ,Brazil,0,3,France, ,A,France,3
580,2002,31-May-02, 20:30 ,Group A,Seoul World Cup Stadium,Seoul ,France,0,1,Senegal, ,A,Senegal,1
581,2002,01-Jun-02, 18:00 ,Group A,Munsu Football Stadium,Ulsan ,Uruguay,1,2,Denmark, ,A,Denmark,3
582,2002,01-Jun-02, 15:30 ,Group E,Niigata Stadium Big Swan,Niigata ,Republic of Ireland,1,1,Cameroon, ,D,Draw,2
583,2002,01-Jun-02, 20:30 ,Group E,Sapporo Dome,Sapporo ,Germany,8,0,Saudi Arabia, ,H,Germany,8
584,2002,02-Jun-02, 14:30 ,Group F,Kashima Stadium,Ibaraki ,Argentina,1,0,Nigeria, ,H,Argentina,1
585,2002,02-Jun-02, 16:30 ,Group B,Busan Asiad Main Stadium,Busan ,Paraguay,2,2,South Africa, ,D,Draw,4
586,2002,02-Jun-02, 18:30 ,Group F,Saitama Stadium 2002,Saitama ,England,1,1,Sweden, ,D,Draw,2
587,2002,02-Jun-02, 20:30 ,Group B,Gwangju World Cup Stadium,Gwangju ,Spain,3,1,Slovenia, ,H,Spain,4
588,2002,03-Jun-02, 18:00 ,Group C,Munsu Football Stadium,Ulsan ,Brazil,2,1,Turkey, ,H,Brazil,3
589,2002,03-Jun-02, 20:30 ,Group G,Sapporo Dome,Sapporo ,Italy,2,0,Ecuador, ,H,Italy,2
590,2002,03-Jun-02, 15:30 ,Group G,Niigata Stadium Big Swan,Niigata ,Croatia,0,1,Mexico, ,A,Mexico,1
591,2002,04-Jun-02, 15:30 ,Group C,Gwangju World Cup Stadium,Gwangju ,China PR,0,2,Costa Rica, ,A,Costa Rica,2
592,2002,04-Jun-02, 18:00 ,Group H,Saitama Stadium 2002,Saitama ,Japan,2,2,Belgium, ,D,Draw,4
593,2002,04-Jun-02, 20:30 ,Group D,Busan Asiad Main Stadium,Busan ,Korea Republic,2,0,Poland, ,H,Korea Republic,2
594,2002,05-Jun-02, 15:30 ,Group H,Kobe Wing Stadium,Kobe ,Russia,2,0,Tunisia, ,H,Russia,2
595,2002,05-Jun-02, 18:00 ,Group D,Suwon World Cup Stadium,Suwon ,USA,3,2,Portugal, ,H,USA,5
596,2002,05-Jun-02, 20:30 ,Group E,Kashima Stadium,Ibaraki ,Germany,1,1,Republic of Ireland, ,D,Draw,2
597,2002,06-Jun-02, 15:30 ,Group A,Daegu World Cup Stadium,Daegu ,Denmark,1,1,Senegal, ,D,Draw,2
598,2002,06-Jun-02, 18:00 ,Group E,Saitama Stadium 2002,Saitama ,Cameroon,1,0,Saudi Arabia, ,H,Cameroon,1
599,2002,06-Jun-02, 20:30 ,Group A,Busan Asiad Main Stadium,Busan ,France,0,0,Uruguay, ,D,Draw,0
600,2002,07-Jun-02, 15:30 ,Group F,Kobe Wing Stadium,Kobe ,Sweden,2,1,Nigeria, ,H,Sweden,3
601,2002,07-Jun-02, 20:30 ,Group F,Sapporo Dome,Sapporo ,Argentina,0,1,England, ,A,England,1
602,2002,07-Jun-02, 18:00 ,Group B,Jeonju World Cup Stadium,Jeonju ,Spain,3,1,Paraguay, ,H,Spain,4
603,2002,08-Jun-02, 15:30 ,Group B,Daegu World Cup Stadium,Daegu ,South Africa,1,0,Slovenia, ,H,South Africa,1
604,2002,08-Jun-02, 20:30 ,Group C,Jeju World Cup Stadium,Jeju ,Brazil,4,0,China PR, ,H,Brazil,4
605,2002,08-Jun-02, 18:00 ,Group G,Kashima Stadium,Ibaraki ,Italy,1,2,Croatia, ,A,Croatia,3
606,2002,09-Jun-02, 18:00 ,Group C,Incheon Football Stadium,Incheon ,Costa Rica,1,1,Turkey, ,D,Draw,2
607,2002,09-Jun-02, 20:30 ,Group H,International Stadium Yokohama,Yokohama ,Japan,1,0,Russia, ,H,Japan,1
608,2002,09-Jun-02, 15:30 ,Group G,Miyagi Stadium,Rifu ,Mexico,2,1,Ecuador, ,H,Mexico,3
609,2002,10-Jun-02, 15:30 ,Group D,Daegu World Cup Stadium,Daegu ,Korea Republic,1,1,USA, ,D,Draw,2
610,2002,10-Jun-02, 20:30 ,Group D,Jeonju World Cup Stadium,Jeonju ,Portugal,4,0,Poland, ,H,Portugal,4
611,2002,10-Jun-02, 18:00 ,Group H,Oita Stadium Big Eye,Oita ,Tunisia,1,1,Belgium, ,D,Draw,2
612,2002,11-Jun-02, 15:30 ,Group A,Incheon Football Stadium,Incheon ,Denmark,2,0,France, ,H,Denmark,2
613,2002,11-Jun-02, 15:30 ,Group A,Suwon World Cup Stadium,Suwon ,Senegal,3,3,Uruguay, ,D,Draw,6
614,2002,11-Jun-02, 20:30 ,Group E,International Stadium Yokohama,Yokohama ,Saudi Arabia,0,3,Republic of Ireland, ,A,Republic of Ireland,3
615,2002,11-Jun-02, 20:30 ,Group E,Shizuoka Stadium Ecopa,Shizuoka ,Cameroon,0,2,Germany, ,A,Germany,2
616,2002,12-Jun-02, 15:30 ,Group F,Miyagi Stadium,Rifu ,Sweden,1,1,Argentina, ,D,Draw,2
617,2002,12-Jun-02, 15:30 ,Group F,Osaka Nagai Stadium,Osaka ,Nigeria,0,0,England, ,D,Draw,0
618,2002,12-Jun-02, 20:30 ,Group B,Jeju World Cup Stadium,Jeju ,Slovenia,1,3,Paraguay, ,A,Paraguay,4
619,2002,12-Jun-02, 20:30 ,Group B,Daejeon World Cup Stadium,Daejeon ,South Africa,2,3,Spain, ,A,Spain,5
620,2002,13-Jun-02, 15:30 ,Group C,Suwon World Cup Stadium,Suwon ,Costa Rica,2,5,Brazil, ,A,Brazil,7
621,2002,13-Jun-02, 15:30 ,Group C,Seoul World Cup Stadium,Seoul ,Turkey,3,0,China PR, ,H,Turkey,3
622,2002,13-Jun-02, 20:30 ,Group G,International Stadium Yokohama,Yokohama ,Ecuador,1,0,Croatia, ,H,Ecuador,1
623,2002,13-Jun-02, 20:30 ,Group G,Oita Stadium Big Eye,Oita ,Mexico,1,1,Italy, ,D,Draw,2
624,2002,14-Jun-02, 15:30 ,Group H,Osaka Nagai Stadium,Osaka ,Tunisia,0,2,Japan, ,A,Japan,2
625,2002,14-Jun-02, 20:30 ,Group D,Incheon Football Stadium,Incheon ,Portugal,0,1,Korea Republic, ,A,Korea Republic,1
626,2002,14-Jun-02, 20:30 ,Group D,Daejeon World Cup Stadium,Daejeon ,Poland,3,1,USA, ,H,Poland,4
627,2002,14-Jun-02, 15:30 ,Group H,Shizuoka Stadium Ecopa,Shizuoka ,Belgium,3,2,Russia, ,H,Belgium,5
628,2002,15-Jun-02, 20:30 ,Round of 16,Niigata Stadium Big Swan,Niigata ,Denmark,0,3,England, ,A,England,3
629,2002,15-Jun-02, 15:30 ,Round of 16,Jeju World Cup Stadium,Jeju ,Germany,1,0,Paraguay, ,H,Germany,1
630,2002,16-Jun-02, 20:30 ,Round of 16,Suwon World Cup Stadium,Suwon ,Spain,1,1,Republic of Ireland,Spain win on penalties (3 - 2) ,D,Draw,2
631,2002,16-Jun-02, 15:30 ,Round of 16,Oita Stadium Big Eye,Oita ,Sweden,1,2,Senegal,Win on Golden Goal ,A,Senegal,3
632,2002,17-Jun-02, 20:30 ,Round of 16,Kobe Wing Stadium,Kobe ,Brazil,2,0,Belgium, ,H,Brazil,2
633,2002,17-Jun-02, 15:30 ,Round of 16,Jeonju World Cup Stadium,Jeonju ,Mexico,0,2,USA, ,A,USA,2
634,2002,18-Jun-02, 15:30 ,Round of 16,Miyagi Stadium,Rifu ,Japan,0,1,Turkey, ,A,Turkey,1
635,2002,18-Jun-02, 20:30 ,Round of 16,Daejeon World Cup Stadium,Daejeon ,Korea Republic,2,1,Italy,Win on Golden Goal ,H,Korea Republic,3
636,2002,21-Jun-02, 15:30 ,Quarter-finals,Shizuoka Stadium Ecopa,Shizuoka ,England,1,2,Brazil, ,A,Brazil,3
637,2002,21-Jun-02, 20:30 ,Quarter-finals,Munsu Football Stadium,Ulsan ,Germany,1,0,USA, ,H,Germany,1
638,2002,22-Jun-02, 20:30 ,Quarter-finals,Osaka Nagai Stadium,Osaka ,Senegal,0,1,Turkey,Win on Golden Goal ,A,Turkey,1
639,2002,22-Jun-02, 15:30 ,Quarter-finals,Gwangju World Cup Stadium,Gwangju ,Spain,0,0,Korea Republic,Korea Republic win on penalties (3 - 5) ,D,Draw,0
640,2002,25-Jun-02, 20:30 ,Semi-finals,Seoul World Cup Stadium,Seoul ,Germany,1,0,Korea Republic, ,H,Germany,1
641,2002,26-Jun-02, 20:30 ,Semi-finals,Saitama Stadium 2002,Saitama ,Brazil,1,0,Turkey, ,H,Brazil,1
642,2002,29-Jun-02, 20:00 ,Third place,Daegu World Cup Stadium,Daegu ,Korea Republic,2,3,Turkey, ,A,Turkey,5
643,2002,30-Jun-02, 20:00 ,Final,International Stadium Yokohama,Yokohama ,Germany,0,2,Brazil, ,A,Brazil,2
644,2006,09-Jun-06, 18:00 ,Group A,"FIFA World Cup Stadium, Munich",Munich ,Germany,4,2,Costa Rica, ,H,Germany,6
645,2006,09-Jun-06, 21:00 ,Group A,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,Poland,0,2,Ecuador, ,A,Ecuador,2
646,2006,10-Jun-06, 15:00 ,Group B,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,England,1,0,Paraguay, ,H,England,1
647,2006,10-Jun-06, 18:00 ,Group B,"FIFA World Cup Stadium, Dortmund",Dortmund ,Trinidad and Tobago,0,0,Sweden, ,D,Draw,0
648,2006,10-Jun-06, 21:00 ,Group C,"FIFA World Cup Stadium, Hamburg",Hamburg ,Argentina,2,1,C�te d'Ivoire, ,H,Argentina,3
649,2006,11-Jun-06, 15:00 ,Group C,Zentralstadion,Leipzig ,Serbia and Montenegro,0,1,Netherlands, ,A,Netherlands,1
650,2006,11-Jun-06, 18:00 ,Group D,Franken-Stadion,Nuremberg ,Mexico,3,1,Iran, ,H,Mexico,4
651,2006,11-Jun-06, 21:00 ,Group D,"FIFA World Cup Stadium, Cologne",Cologne ,Angola,0,1,Portugal, ,A,Portugal,1
652,2006,12-Jun-06, 15:00 ,Group F,Fritz-Walter-Stadion,Kaiserslautern ,Australia,3,1,Japan, ,H,Australia,4
653,2006,12-Jun-06, 18:00 ,Group E,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,USA,0,3,Czech Republic, ,A,Czech Republic,3
654,2006,12-Jun-06, 21:00 ,Group E,"FIFA World Cup Stadium, Hanover",Hanover ,Italy,2,0,Ghana, ,H,Italy,2
655,2006,13-Jun-06, 15:00 ,Group G,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Korea Republic,2,1,Togo, ,H,Korea Republic,3
656,2006,13-Jun-06, 18:00 ,Group G,Gottlieb-Daimler-Stadion,Stuttgart ,France,0,0,Switzerland, ,D,Draw,0
657,2006,13-Jun-06, 21:00 ,Group F,Olympiastadion,Berlin ,Brazil,1,0,Croatia, ,H,Brazil,1
658,2006,14-Jun-06, 15:00 ,Group H,Zentralstadion,Leipzig ,Spain,4,0,Ukraine, ,H,Spain,4
659,2006,14-Jun-06, 18:00 ,Group H,"FIFA World Cup Stadium, Munich",Munich ,Tunisia,2,2,Saudi Arabia, ,D,Draw,4
660,2006,14-Jun-06, 21:00 ,Group A,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,1,0,Poland, ,H,Germany,1
661,2006,15-Jun-06, 15:00 ,Group A,"FIFA World Cup Stadium, Hamburg",Hamburg ,Ecuador,3,0,Costa Rica, ,H,Ecuador,3
662,2006,15-Jun-06, 18:00 ,Group B,Franken-Stadion,Nuremberg ,England,2,0,Trinidad and Tobago, ,H,England,2
663,2006,15-Jun-06, 21:00 ,Group B,Olympiastadion,Berlin ,Sweden,1,0,Paraguay, ,H,Sweden,1
664,2006,16-Jun-06, 15:00 ,Group C,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,Argentina,6,0,Serbia and Montenegro, ,H,Argentina,6
665,2006,16-Jun-06, 18:00 ,Group C,Gottlieb-Daimler-Stadion,Stuttgart ,Netherlands,2,1,C�te d'Ivoire, ,H,Netherlands,3
666,2006,16-Jun-06, 21:00 ,Group D,"FIFA World Cup Stadium, Hanover",Hanover ,Mexico,0,0,Angola, ,D,Draw,0
667,2006,17-Jun-06, 15:00 ,Group D,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Portugal,2,0,IR Iran, ,H,Portugal,2
668,2006,17-Jun-06, 18:00 ,Group E,"FIFA World Cup Stadium, Cologne",Cologne ,Czech Republic,0,2,Ghana, ,A,Ghana,2
669,2006,17-Jun-06, 21:00 ,Group E,Fritz-Walter-Stadion,Kaiserslautern ,Italy,1,1,USA, ,D,Draw,2
670,2006,18-Jun-06, 15:00 ,Group F,Franken-Stadion,Nuremberg ,Japan,0,0,Croatia, ,D,Draw,0
671,2006,18-Jun-06, 18:00 ,Group F,"FIFA World Cup Stadium, Munich",Munich ,Brazil,2,0,Australia, ,H,Brazil,2
672,2006,18-Jun-06, 21:00 ,Group G,Zentralstadion,Leipzig ,France,1,1,Korea Republic, ,D,Draw,2
673,2006,19-Jun-06, 15:00 ,Group G,"FIFA World Cup Stadium, Dortmund",Dortmund ,Togo,0,2,Switzerland, ,A,Switzerland,2
674,2006,19-Jun-06, 18:00 ,Group H,"FIFA World Cup Stadium, Hamburg",Hamburg ,Saudi Arabia,0,4,Ukraine, ,A,Ukraine,4
675,2006,19-Jun-06, 21:00 ,Group H,Gottlieb-Daimler-Stadion,Stuttgart ,Spain,3,1,Tunisia, ,H,Spain,4
676,2006,20-Jun-06, 16:00 ,Group A,Olympiastadion,Berlin ,Ecuador,0,3,Germany, ,A,Germany,3
677,2006,20-Jun-06, 16:00 ,Group A,"FIFA World Cup Stadium, Hanover",Hanover ,Costa Rica,1,2,Poland, ,A,Poland,3
678,2006,20-Jun-06, 21:00 ,Group B,"FIFA World Cup Stadium, Cologne",Cologne ,Sweden,2,2,England, ,D,Draw,4
679,2006,20-Jun-06, 21:00 ,Group B,Fritz-Walter-Stadion,Kaiserslautern ,Paraguay,2,0,Trinidad and Tobago, ,H,Paraguay,2
680,2006,21-Jun-06, 16:00 ,Group D,Zentralstadion,Leipzig ,Iran,1,1,Angola, ,D,Draw,2
681,2006,21-Jun-06, 16:00 ,Group D,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,Portugal,2,1,Mexico, ,H,Portugal,3
682,2006,21-Jun-06, 21:00 ,Group C,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Netherlands,0,0,Argentina, ,D,Draw,0
683,2006,21-Jun-06, 21:00 ,Group C,"FIFA World Cup Stadium, Munich",Munich ,C�te d'Ivoire,3,2,Serbia and Montenegro, ,H,C�te d'Ivoire,5
684,2006,22-Jun-06, 16:00 ,Group E,"FIFA World Cup Stadium, Hamburg",Hamburg ,Czech Republic,0,2,Italy, ,A,Italy,2
685,2006,22-Jun-06, 16:00 ,Group E,Franken-Stadion,Nuremberg ,Ghana,2,1,USA, ,H,Ghana,3
686,2006,22-Jun-06, 21:00 ,Group F,"FIFA World Cup Stadium, Dortmund",Dortmund ,Japan,1,4,Brazil, ,A,Brazil,5
687,2006,22-Jun-06, 21:00 ,Group F,Gottlieb-Daimler-Stadion,Stuttgart ,Croatia,2,2,Australia, ,D,Draw,4
688,2006,23-Jun-06, 16:00 ,Group H,Olympiastadion,Berlin ,Ukraine,1,0,Tunisia, ,H,Ukraine,1
689,2006,23-Jun-06, 16:00 ,Group H,Fritz-Walter-Stadion,Kaiserslautern ,Saudi Arabia,0,1,Spain, ,A,Spain,1
690,2006,23-Jun-06, 21:00 ,Group G,"FIFA World Cup Stadium, Cologne",Cologne ,Togo,0,2,France, ,A,France,2
691,2006,23-Jun-06, 21:00 ,Group G,"FIFA World Cup Stadium, Hanover",Hanover ,Switzerland,2,0,Korea Republic, ,H,Switzerland,2
692,2006,24-Jun-06, 17:00 ,Round of 16,"FIFA World Cup Stadium, Munich",Munich ,Germany,2,0,Sweden, ,H,Germany,2
693,2006,24-Jun-06, 21:00 ,Round of 16,Zentralstadion,Leipzig ,Argentina,2,1,Mexico,Argentina win after extra time ,H,Argentina,3
694,2006,25-Jun-06, 17:00 ,Round of 16,Gottlieb-Daimler-Stadion,Stuttgart ,England,1,0,Ecuador, ,H,England,1
695,2006,25-Jun-06, 21:00 ,Round of 16,Franken-Stadion,Nuremberg ,Portugal,1,0,Netherlands, ,H,Portugal,1
696,2006,26-Jun-06, 17:00 ,Round of 16,Fritz-Walter-Stadion,Kaiserslautern ,Italy,1,0,Australia, ,H,Italy,1
697,2006,26-Jun-06, 21:00 ,Round of 16,"FIFA World Cup Stadium, Cologne",Cologne ,Switzerland,0,0,Ukraine,Ukraine win on penalties (0 - 3) ,D,Draw,0
698,2006,27-Jun-06, 17:00 ,Round of 16,"FIFA World Cup Stadium, Dortmund",Dortmund ,Brazil,3,0,Ghana, ,H,Brazil,3
699,2006,27-Jun-06, 21:00 ,Round of 16,"FIFA World Cup Stadium, Hanover",Hanover ,Spain,1,3,France, ,A,France,4
700,2006,30-Jun-06, 17:00 ,Quarter-finals,Olympiastadion,Berlin ,Germany,1,1,Argentina,Germany win on penalties (4 - 2) ,D,Draw,2
701,2006,30-Jun-06, 21:00 ,Quarter-finals,"FIFA World Cup Stadium, Hamburg",Hamburg ,Italy,3,0,Ukraine, ,H,Italy,3
702,2006,01-Jul-06, 17:00 ,Quarter-finals,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,England,0,0,Portugal,Portugal win on penalties (1 - 3) ,D,Draw,0
703,2006,01-Jul-06, 21:00 ,Quarter-finals,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main ,Brazil,0,1,France, ,A,France,1
704,2006,04-Jul-06, 21:00 ,Semi-finals,"FIFA World Cup Stadium, Dortmund",Dortmund ,Germany,0,2,Italy,Italy win after extra time ,A,Italy,2
705,2006,05-Jul-06, 21:00 ,Semi-finals,"FIFA World Cup Stadium, Munich",Munich ,Portugal,0,1,France, ,A,France,1
706,2006,08-Jul-06, 21:00 ,Third place,Gottlieb-Daimler-Stadion,Stuttgart ,Germany,3,1,Portugal, ,H,Germany,4
707,2006,09-Jul-06, 20:00 ,Final,Olympiastadion,Berlin ,Italy,1,1,France,Italy win on penalties (5 - 3) ,D,Draw,2
708,2010,11-Jun-10, 16:00 ,Group A,Soccer City Stadium,Johannesburg ,South Africa,1,1,Mexico, ,D,Draw,2
709,2010,11-Jun-10, 20:30 ,Group A,Cape Town Stadium,Cape Town ,Uruguay,0,0,France, ,D,Draw,0
710,2010,12-Jun-10, 13:30 ,Group B,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth ,Korea Republic,2,0,Greece, ,H,Korea Republic,2
711,2010,12-Jun-10, 16:00 ,Group B,Ellis Park Stadium,Johannesburg ,Argentina,1,0,Nigeria, ,H,Argentina,1
712,2010,12-Jun-10, 20:30 ,Group C,Royal Bafokeng Sports Palace,Phokeng ,England,1,1,USA, ,D,Draw,2
713,2010,13-Jun-10, 13:30 ,Group C,Peter Mokaba Stadium,Polokwane ,Algeria,0,1,Slovenia, ,A,Slovenia,1
714,2010,13-Jun-10, 16:00 ,Group D,Loftus Versfeld Stadium,Tshwane/Pretoria ,Serbia,0,1,Ghana, ,A,Ghana,1
715,2010,13-Jun-10, 20:30 ,Group D,Durban Stadium,Durban ,Germany,4,0,Australia, ,H,Germany,4
